"Date","Time","Open","High","Low","Close","Up","Down","ZeroLine","3/10Line_2","16Line_2","ParCl","ParCl","Vol","Avg","PLOT1","MornDoji","EveDoji"
10/02/2020,04:50,3328.50,3330.50,3326.75,3328.25,895,790,0.00,0.47,-0.68,3321.96,3301.89,1685.00,1968.20,0.00,0.00,0.00
10/02/2020,04:55,3328.25,3330.25,3327.00,3329.75,484,413,0.00,0.78,-0.96,3322.67,3301.98,897.00,1856.00,0.00,0.00,0.00
10/02/2020,05:00,3329.50,3331.75,3328.25,3329.25,499,527,0.00,0.68,-1.12,3323.34,3302.07,1026.00,1770.30,0.00,0.00,0.00
10/02/2020,05:05,3329.00,3331.50,3327.00,3331.50,797,563,0.00,0.97,-1.19,3323.99,3302.17,1360.00,1660.90,0.00,0.00,0.00
10/02/2020,05:10,3331.50,3333.75,3330.25,3332.50,793,650,0.00,1.33,-0.98,3324.61,3302.26,1443.00,1627.50,0.00,0.00,0.00
10/02/2020,05:15,3332.75,3334.75,3331.50,3332.50,690,580,0.00,2.02,-0.58,3325.20,3302.35,1270.00,1560.40,0.00,0.00,0.00
10/02/2020,05:20,3332.50,3334.00,3330.50,3330.75,434,498,0.00,1.87,-0.10,3325.77,3302.45,932.00,1483.80,0.00,0.00,0.00
10/02/2020,05:25,3330.75,3332.50,3324.50,3324.75,731,984,0.00,-0.32,0.15,3339.50,3302.54,1715.00,1370.70,0.00,0.00,0.00
10/02/2020,05:30,3325.00,3326.00,3321.25,3321.50,1303,1660,0.00,-3.26,0.14,3339.38,3302.63,2963.00,1486.70,0.00,0.00,0.00
10/02/2020,05:35,3321.50,3324.25,3320.25,3320.25,885,982,0.00,-5.93,-0.01,3339.09,3302.72,1867.00,1515.80,0.00,0.00,0.00
10/02/2020,05:40,3320.00,3321.25,3315.00,3316.00,1301,1596,0.00,-7.63,-0.27,3338.64,3302.81,2897.00,1637.00,0.00,0.00,0.00
10/02/2020,05:45,3316.25,3316.75,3310.25,3311.75,1137,1636,0.00,-9.07,-0.74,3337.88,3302.91,2773.00,1824.60,0.00,0.00,0.00
